steps,avg_reward,success_rate,sps
10100000,15.735294817294925,0.96,1508
10200000,14.89845643444918,0.88,1508
10300000,15.028556503225118,0.96,1508
10400000,15.069317499180324,0.98,1508
10500000,15.656521585667505,0.96,1508
10600000,15.725418654335662,0.96,1509
10700000,15.833018115665764,1.0,1509
10800000,14.46423009772785,0.94,1509
10900000,14.569805901588406,0.9,1509
11000000,15.054900912316516,0.84,1509
11100000,14.986419930849225,0.98,1509
11200000,15.023208969393744,0.92,1510
11300000,14.727667279597371,0.82,1510
11400000,15.060225924523547,0.94,1510
11500000,15.336525320159272,0.9,1510
11600000,15.166726141832768,0.92,1511
11700000,14.882491745138541,0.9,1511
11800000,14.712602507257834,0.82,1511
11900000,15.411212481632829,0.96,1511
12000000,15.01490695363842,0.94,1511
12100000,15.212475851019844,0.94,1511
12200000,15.193034660676494,0.86,1511
12300000,15.258704377254471,0.92,1511
12400000,15.61792842498049,0.94,1511
12500000,14.289767165209632,0.86,1512
12600000,13.138139297412708,0.84,1512
12700000,14.147846219898202,0.88,1512
12800000,15.14805564712733,0.9,1512
12900000,15.337092833444476,0.92,1512
13000000,15.705169055182488,0.92,1512
13100000,15.335377969052642,0.92,1512
13200000,15.69519633893855,0.94,1512
13300000,15.959164911871776,0.94,1512
13400000,15.478113138731569,0.9,1513
13500000,16.089817523565145,1.0,1513
13600000,15.901667167069391,0.94,1513
13700000,15.674898024518043,0.94,1513
13800000,16.00795549143106,0.98,1513
13900000,15.381036830041557,0.94,1513
14000000,16.10003532586619,1.0,1512
14100000,15.91937944861129,0.98,1512
14200000,15.86331717886962,1.0,1512
14300000,16.117731384299695,0.98,1512
14400000,16.0301793793682,0.96,1512
14500000,16.157330817161128,1.0,1512
14600000,16.087954407017676,1.0,1513
14700000,16.171742957299575,1.0,1513
14800000,15.983154241954908,1.0,1513
14900000,16.073131624963136,1.0,1513
15000000,16.09238683182746,1.0,1513
15100000,16.105489378748462,1.0,1513
15200000,16.222694725170733,1.0,1513
15300000,15.962817991217598,1.0,1513
15400000,16.123513631746174,1.0,1513
15500000,15.869291441999376,1.0,1514
15600000,16.178576258309185,1.0,1514
15700000,16.19298839488998,1.0,1514
15800000,16.108056453270837,1.0,1514
15900000,16.105128451604397,1.0,1514
16000000,16.227612503105775,1.0,1514
16100000,16.176870496170594,0.98,1514
16200000,16.20585211874917,1.0,1514
16300000,16.255078168036416,1.0,1514
16400000,16.22552479476668,1.0,1514
16500000,16.2974469597172,1.0,1514
16600000,16.297900787293912,1.0,1514
16700000,16.20326490261592,1.0,1514
16800000,16.29086574183777,1.0,1515
16900000,15.998125292882323,0.98,1515
17000000,16.32222796600312,1.0,1515
17100000,16.30513096904382,1.0,1515
17200000,16.26886151188053,0.98,1515
17300000,16.130246550887822,1.0,1515
17400000,16.317502054031937,1.0,1515
17500000,16.302412316147237,1.0,1515
17600000,16.30891602477059,1.0,1515
17700000,16.228102929573506,0.96,1515
17800000,16.3274929985404,0.98,1515
17900000,16.308829846689477,1.0,1515
18000000,16.295698610767722,1.0,1515
18100000,16.23626020343043,1.0,1515
18200000,16.33862083511427,0.98,1515
18300000,16.060191248012707,0.98,1515
18400000,16.265810633534567,1.0,1515
18500000,16.300690377671273,1.0,1515
18600000,16.116823525466025,1.0,1515
18700000,16.399897100562228,1.0,1515
18800000,16.201755702197552,1.0,1515
18900000,14.470026566168526,0.8,1515
19000000,13.606493632104248,0.72,1515
19100000,13.599036179920658,0.76,1515
19200000,15.259221856351942,0.92,1515
19300000,15.070857725441456,0.92,1515
19400000,13.692955325054935,0.92,1516
19500000,12.914528258511563,0.78,1516
19600000,12.790185112576001,0.68,1516
19700000,12.831858915914781,0.7,1516
19800000,13.10103764532134,0.72,1516
19900000,13.683203929513693,0.74,1516
20000000,12.694997699025553,0.72,1516
