steps,avg_reward,success_rate,sps
10200000,15.950871195951477,0.96,1212
10300000,16.46224231366068,1.0,1211
10400000,16.182471079127865,0.98,1212
10500000,16.34185418563895,1.0,1211
10600000,16.37381940051913,1.0,1212
10700000,16.41451029697433,1.0,1211
10800000,16.220517588714138,0.98,1213
10900000,16.1200784661714,0.96,1211
11000000,16.39056675045751,1.0,1213
11100000,16.25126593065448,0.98,1211
11200000,15.968108108704909,0.96,1213
11300000,16.38082446272485,1.0,1212
11400000,16.454768867483363,1.0,1213
11500000,16.211886627068743,1.0,1212
11600000,16.352766390377656,1.0,1211
11700000,16.493674686038865,1.0,1212
11800000,16.483369560325517,1.0,1211
11900000,16.519282854311168,1.0,1212
12000000,16.439481091005728,1.0,1211
12100000,16.383756547439845,0.98,1212
12200000,16.518747033989058,1.0,1211
12300000,16.219402540773153,0.96,1212
12400000,16.49158984573558,1.0,1211
12500000,16.558164772056042,1.0,1212
12600000,16.47493007720448,1.0,1211
12700000,16.599516239408402,1.0,1212
12800000,16.32497603124939,0.98,1211
12900000,16.531033599227666,1.0,1212
13000000,16.57013408320956,1.0,1211
13100000,16.27635866432451,0.96,1212
13200000,16.051944159632548,0.98,1211
13300000,16.582073896816,1.0,1212
13400000,16.284110170966013,1.0,1211
13500000,16.545213493490593,1.0,1212
13600000,16.47547177162953,1.0,1211
13700000,16.369568357998507,1.0,1211
13800000,16.309816257786007,1.0,1211
13900000,16.311085715349762,0.98,1210
14000000,16.36060280939564,0.98,1211
14100000,16.455054067997263,1.0,1210
14200000,16.481973223155364,1.0,1211
14300000,16.444098885143177,0.98,1210
14400000,15.843933714404702,0.94,1211
14500000,16.60770045868121,1.0,1210
14600000,16.38943357582204,1.0,1211
14700000,16.464982811277732,1.0,1210
14800000,16.530928710708395,1.0,1211
14900000,16.459525934271515,1.0,1210
15000000,16.376776585476474,0.98,1211
15100000,16.495634608343245,0.98,1210
15200000,16.591308369114994,1.0,1211
15300000,16.15511513210833,0.96,1210
15400000,16.589990229737012,1.0,1211
15500000,16.470985636664555,1.0,1210
15600000,16.568118880670518,0.98,1209
15700000,16.429690520390867,0.98,1210
15800000,16.540220669098197,1.0,1209
15900000,16.334491052674128,1.0,1210
16000000,16.448197902403773,0.98,1209
16100000,16.345959114618598,0.96,1210
16200000,16.51246253091842,0.98,1209
16300000,16.4975115857739,0.98,1210
16400000,16.312377123059704,0.96,1209
16500000,16.626362188355998,1.0,1210
16600000,16.608132976964114,1.0,1209
16700000,16.509542039074002,1.0,1210
16800000,16.53530619145371,1.0,1209
16900000,16.51830855851993,1.0,1210
17000000,16.703170160381124,1.0,1209
17100000,16.72328678669408,1.0,1210
17200000,16.521442949688062,0.98,1209
17300000,16.029419731730595,0.94,1209
17400000,16.724349608570336,1.0,1209
17500000,16.732814119411632,1.0,1208
17600000,16.272179112927986,0.96,1208
17700000,16.492467389227823,0.98,1208
17800000,16.750945010911675,1.0,1208
17900000,16.4659849704057,1.0,1208
18000000,16.3904045377858,1.0,1208
18100000,16.27322692017071,0.98,1207
18200000,16.431720058796927,0.98,1208
18300000,16.37328321442008,1.0,1207
18400000,16.39664267204702,0.96,1208
18500000,16.446262166341768,0.98,1207
18600000,16.663000417156145,1.0,1208
18700000,16.48605608484708,0.98,1207
18800000,16.61433283169754,1.0,1208
18900000,16.71514119531028,0.98,1207
19000000,16.692047512372955,1.0,1208
19100000,16.57929264762439,1.0,1207
19200000,16.701445981869472,0.98,1208
19300000,16.394579955665396,0.98,1207
19400000,16.512989037381484,0.98,1206
19500000,16.365318235093728,0.98,1207
19600000,16.624362464994192,1.0,1206
19700000,16.47637673147954,1.0,1207
19800000,16.708505503404886,1.0,1206
19900000,16.610736297573894,0.98,1207
20000000,16.5212725842651,1.0,1206
